temp extended helix coil
300.0 0.05408818626137164 0.061266664608982245 0.8846451491296462
311.264 0.053203908058748445 0.07241892735165538 0.8743771645895961
322.952 0.05315970656802567 0.06990364175160263 0.8769366516803718
335.078 0.06746238788181805 0.05453821471980222 0.8779993973983797
347.66 0.0602430996800203 0.04915748204883545 0.8905994182711443
360.714 0.06086587613960035 0.038761383629608306 0.9003727402307913
374.258 0.05875779387990514 0.0384258624935272 0.9028163436265677
388.311 0.05681816946522866 0.03826162980899259 0.9049202007257786
402.891 0.051950725212875165 0.03573040977431066 0.9123188650128143
418.019 0.046857845383949846 0.03536231983829523 0.917779834777755
433.715 0.03823724759310676 0.04326409151117602 0.9184986608957171
450.0 0.0417126243584164 0.03956104047184103 0.9187263351697426
