temp alpha_helix three_ten_helix pi_helix beta_bridge beta_strand turn bend irregular
300.0 0.012217061354857282 0.04650959400739736 0.00037168281107112977 0.04958954646718643 0.03310118927984988 0.15502453846942676 0.23772570662084494 0.46546068098936594
311.264 0.01194579102065796 0.041893096799204076 0.0006960336486373224 0.04391871816719889 0.028483689609911933 0.14328478626371083 0.23101582616989827 0.49876205832078085
322.952 0.012835904873043685 0.04072489530090318 0.0006522369646204346 0.042507064658854246 0.025981158341267428 0.14013855056989044 0.22915991175567654 0.5080002775357442
335.078 0.012245323870278043 0.03940450530538274 0.0006354312652505493 0.040984349438984616 0.02498166437549321 0.14147286199541018 0.22994203406695732 0.5103338296822436
347.66 0.012122082664444419 0.03864811448542481 0.0007021280170724461 0.038255512729126875 0.021501924634970193 0.1390897784124736 0.23211023375452605 0.5175702253019613
360.714 0.0123272707628516 0.03868199921781813 0.0008816602529530105 0.03588138699721914 0.018750621178233527 0.13789746379754897 0.23277067410845648 0.5228089236849189
374.258 0.011462040126047108 0.036858311748982485 0.000778737206985716 0.03300018857955046 0.016708464670729267 0.1365063419866058 0.23434749781871325 0.530338417862386
388.311 0.010358438357440271 0.035069599725752895 0.0008445643635655036 0.030843728044247953 0.01484900154134471 0.1357790398026015 0.23774488927599421 0.5345107388890531
402.891 0.010239491019205606 0.0341203317428996 0.0007884122915535005 0.028671178979269785 0.01236731148869063 0.1325016637716532 0.23868343529362934 0.5426281754130982
418.019 0.009500598247110291 0.03242128373119599 0.000897911641359163 0.027097669675060047 0.010467765320785442 0.13037491213271446 0.24061705421465568 0.5486228050371189
433.715 0.009230954862689173 0.03174516941446007 0.0008241414407102616 0.025637133925660277 0.009892159774455173 0.12843807371176372 0.2434656072194808 0.5507667596507807
450.0 0.009109831382677933 0.031480805156464814 0.0008457747875526667 0.025951641723789373 0.009725792026628766 0.13445287971074169 0.25421928096446433 0.5342139942476803
