time extended helix coil
300.0 0.5308426918331106 0.05083596645029682 0.3078102954533244
311.264 0.5393771937934169 0.049202138367861165 0.29066041582652924
322.952 0.5100119231383589 0.0764669639525521 0.29851429808395663
335.078 0.5237339102517675 0.05575530257889119 0.28179609048158316
347.66 0.5245747857341843 0.07989955323894608 0.2984411097253775
360.714 0.4831897117850512 0.09732454584676165 0.3033837272470663
374.258 0.4699646146227773 0.12068603305480337 0.3199026438126856
388.311 0.4364176165481818 0.15589069886656237 0.30855617385070455
402.891 0.3949085539137017 0.16742028390787772 0.3218981336966596
418.019 0.3436259771737516 0.21097568079241932 0.31847817756124175
433.715 0.29170912331665577 0.23081406034414909 0.3237484831763725
450.0 0.23716256346542108 0.24966059490190917 0.3179412640461057
