temp extended helix coil
300.0 0.07747015642922789 0.052456609562493504 0.09725981196579347
311.264 0.08827775887603821 0.04034382080516381 0.08825315856843391
322.952 0.07851060706298515 0.048068267904723544 0.095206854428601
335.078 0.059824068990242125 0.050763102517970504 0.08815107863388455
347.66 0.07452758128155637 0.04708628008932143 0.09023337797538312
360.714 0.05630978025558024 0.04873881455198739 0.0951094626584194
374.258 0.05210314962713923 0.04281056167828651 0.08740969535524959
388.311 0.05864437154351007 0.034774230071901495 0.08176239622209243
402.891 0.045289139906685025 0.0431298979122548 0.08808824209610566
418.019 0.045964255558357876 0.03923339479398963 0.08911028607476154
433.715 0.04679916407627497 0.030475562657589904 0.08669877953953903
450.0 0.05875577113551312 0.03670228304567104 0.09002240749921249
