temp alpha_helix three_ten_helix pi_helix beta_bridge beta_strand turn bend irregular
300.0 0.004057092966195687 0.010399473553308423 2.501846340357683e-05 0.005782331805810209 0.5742932699541223 0.11898343788720482 0.06116645234131288 0.22529292302864234
311.264 0.005305147621688341 0.012681104505747639 3.372433845677207e-05 0.005628635641791037 0.5578158732876839 0.11758912954790533 0.06709136805654342 0.23385501700018324
322.952 0.007074678948126441 0.014073625372255611 3.399628235653475e-05 0.0053070936462702245 0.5351974278752808 0.11823269781192287 0.07417206043844811 0.24590841962533913
335.078 0.010203378043928625 0.016432601541761058 7.590800920414638e-05 0.005367960528495192 0.5107296524319834 0.11676267897351128 0.08187564141603539 0.25855217905508093
300.0 0.004057092966195687 0.010399473553308423 2.501846340357683e-05 0.005782331805810209 0.5742932699541223 0.11898343788720482 0.06116645234131288 0.22529292302864234
311.264 0.005305147621688341 0.012681104505747639 3.372433845677207e-05 0.005628635641791037 0.5578158732876839 0.11758912954790533 0.06709136805654342 0.23385501700018324
322.952 0.007074678948126441 0.014073625372255611 3.399628235653475e-05 0.0053070936462702245 0.5351974278752808 0.11823269781192287 0.07417206043844811 0.24590841962533913
335.078 0.010203378043928625 0.016432601541761058 7.590800920414638e-05 0.005367960528495192 0.5107296524319834 0.11676267897351128 0.08187564141603539 0.25855217905508093
347.66 0.013168163341703577 0.017642983633765954 0.0001234808591269861 0.005950607683630742 0.48281386374172836 0.11851389117392239 0.09052088178648765 0.27126612777963427
360.714 0.016852401664179464 0.019935409179018097 0.0002236026033876347 0.006988671833898876 0.44803488418630716 0.11988689558145278 0.10177152866731697 0.28630660628443905
374.258 0.021944109436371154 0.023196148589303904 0.00037738051281777725 0.007881335904650615 0.40330108949560706 0.12226179475281472 0.11393466297810169 0.30710347833033325
388.311 0.028635243759449362 0.028505576297317016 0.0005963867576504387 0.009126900859008961 0.34962052952342193 0.1294164511833397 0.12546414634335548 0.32863476527645674
402.891 0.03597436382760087 0.035062540272341035 0.0007971688482265562 0.010364722504339887 0.289266747284485 0.13760587083505246 0.14039545130587916 0.3505331351220749
418.019 0.0445411140678602 0.04163830137879285 0.0011488425575626612 0.011645788652778908 0.22560092112340732 0.1484505709650708 0.15560955840719834 0.3713649028473289
433.715 0.049119640758526914 0.048064253683502804 0.0013422419071994294 0.012408250640908223 0.16509282677233117 0.159547338818787 0.1724813975069463 0.39194404991179804
450.0 0.052296434577750836 0.0526386066901606 0.0013820003686313485 0.012453883389931066 0.1186477380063358 0.1674732524929428 0.18548623535801345 0.4096218491162341
