temp extended helix coil
300.0 0.08581643488509855 0.036020545586243416 0.09225031065858322
311.264 0.06707743122334424 0.0377514716613884 0.07355315962449763
322.952 0.06534320479645621 0.026047768943283915 0.07670200152936435
335.078 0.05887498730345347 0.05223502871435953 0.08250094495120987
347.66 0.0547620865245814 0.04222829426518181 0.07365507981877974
360.714 0.04748242343775344 0.044730482527726316 0.07347159473635709
374.258 0.046184044453216125 0.0389375442009262 0.07043249354434034
388.311 0.051479556501338467 0.0369557285809037 0.06842471956337612
402.891 0.03641945161625927 0.0376897405038348 0.0678280085828402
418.019 0.04008119694226216 0.02952046942667632 0.06744874769073897
433.715 0.030511255894990746 0.034434095750107835 0.06488564993839879
450.0 0.026008976503403808 0.030958570959383237 0.06093808655826811
