temp alpha_helix three_ten_helix pi_helix beta_bridge beta_strand turn bend irregular
300.0 0.004398538593343259 0.04563983106236405 0.0005015568147065721 0.057847433857226946 0.02030007259237288 0.1615505465517124 0.318492085349908 0.39126993517836567
311.264 0.00434668504419517 0.043850871097979506 0.0005552505140798082 0.05726164778550998 0.02062974691963068 0.15971036250721224 0.31151504558633203 0.4021303905450606
322.952 0.004389007895953637 0.04201680572580932 0.0005570316899947323 0.05609187810288995 0.020491540911934586 0.1578395074206202 0.3040015406965917 0.414612687556206
335.078 0.005191645198280416 0.03905623768457349 0.0006462738211047704 0.052815488624082675 0.02018149027299072 0.15842618079010554 0.29743831524579845 0.42624436836306406
347.66 0.005332444151433976 0.03537371963118497 0.0005935902206988767 0.049986945402111335 0.0187504496253922 0.15425308623803863 0.2948259958845313 0.4408837688466087
360.714 0.005569764546694002 0.03481045108325616 0.0007860027713080609 0.047176534475826676 0.01644076742106445 0.15154704201912045 0.29376572323371075 0.44990371444901933
374.258 0.005119427573005765 0.03410756757095646 0.0006510798398788229 0.04485354270762331 0.014833902025126603 0.1484600288545097 0.29357725725564043 0.4583971941732588
388.311 0.005251723814094662 0.03104206477468768 0.000672800265281062 0.04024993229684444 0.013004822348510825 0.14481017906713917 0.29435230705545623 0.4706161703779859
402.891 0.004928343162767575 0.02979698371476226 0.0007366199534592764 0.03730606019002685 0.011579232067417735 0.14337500253397362 0.29452636197269394 0.47775139640489855
418.019 0.005017167836885937 0.026514663234345072 0.0006196924122931639 0.03256243826590528 0.009308175598308793 0.13696354252677148 0.29644175993580774 0.49257256018968254
433.715 0.004999553971104616 0.026074296348659935 0.0006300912612992408 0.031298119235919124 0.009001992463294159 0.1356244049671001 0.2972398845299855 0.4951316572226373
450.0 0.004721994647955339 0.024940396645468925 0.0007542913606694437 0.0298982694404505 0.00810669080742301 0.13464496113004565 0.2983384408670751 0.4985949551009119
