temp alpha_helix three_ten_helix pi_helix beta_bridge beta_strand turn bend irregular
300.0 0.039864079547826774 0.04711402260982128 0.000567291250629414 0.04484710124764008 0.09334216398651488 0.16649032292101945 0.19238408011055363 0.41539093832599466
311.264 0.038955341616355145 0.04086446445928078 0.0008741871359090029 0.040313502343812195 0.07598032522205819 0.1580197693095919 0.19616525102085078 0.44882715889214186
322.952 0.039356207268831045 0.04070247941701668 0.0009630358301319674 0.03794400105545786 0.06809406132396326 0.15655797249654752 0.1966835457760053 0.4596986968320465
335.078 0.03992462105432062 0.03936815096862567 0.0013562409526508936 0.035442409002978216 0.06077304853034586 0.15610032244140576 0.20005965253728922 0.46697555451238365
347.66 0.0384825050055578 0.0390802713862834 0.0013805120445041861 0.035048306059098436 0.05215354663780537 0.15756852524273993 0.20670074940778724 0.4695855842162238
360.714 0.03727438075832528 0.037299206404417556 0.0013274194203356294 0.03384075630507125 0.04356608762274981 0.1565038670173773 0.2153674242818709 0.47482085818985215
374.258 0.03458820052325486 0.035995088896653565 0.0014184800555551158 0.030960471441617805 0.036141817138904596 0.15314275122385426 0.2215443477023197 0.48620884301784034
388.311 0.032776351822119895 0.034194258047570474 0.0013896283731855827 0.02912881330208871 0.029082431299004192 0.14969573760614774 0.22825751673517602 0.49547526281470744
402.891 0.03051736102720631 0.03315545404996789 0.0014907574070581319 0.027332846352646375 0.024076115557791666 0.1475458049714662 0.23250839884607613 0.5033732617877875
418.019 0.027971007966964948 0.03160963151556087 0.0014058233577172962 0.025884918098772303 0.019736767527332832 0.14530308221833735 0.23745241443165832 0.5106363548836564
433.715 0.02594965757402614 0.031002103265559664 0.0016503030137848638 0.024325560359586374 0.01695877925939314 0.14483323283597563 0.24002751623944552 0.5152528474522289
450.0 0.023243228425842793 0.029974924253622262 0.001866644060216296 0.022998283679518713 0.014995791296712024 0.1465519227380642 0.2515814550032989 0.508787750542725
