time extended helix coil
300.0 0.5827119791180438 0.018057891700441427 0.3992301291815146
311.264 0.5726162812221578 0.01826940914733572 0.40911430963050655
322.952 0.5384713403204058 0.021430752865051424 0.44009790681454286
335.078 0.5365503793574993 0.02174663883411088 0.4417029818083896
347.66 0.4913916080550848 0.032207732055939055 0.47640065988897606
360.714 0.4451492388173115 0.03760829021387871 0.5172424709688097
374.258 0.40936654210830176 0.04109961361304891 0.5495338442786495
388.311 0.364615332538888 0.05793370591817071 0.5774509615429413
402.891 0.2958313101557896 0.0716103172108689 0.6325583726333415
418.019 0.2212834393185379 0.09165347114308282 0.6870630895383794
433.715 0.18412570957732438 0.10244960274289659 0.7134246876797791
450.0 0.13864632255320247 0.10757049452017278 0.7537831829266248
