temp alpha_helix three_ten_helix pi_helix beta_bridge beta_strand turn bend irregular
300.0 0.008220062693227075 0.049217825599588254 0.0003014226496253792 0.05306232273234598 0.05063616280066874 0.175822720424024 0.24198117596880456 0.42075830713171586
311.264 0.010030654111465424 0.04931932658219139 0.0005372777282153907 0.050390477091410237 0.04384936565922605 0.1732354382529531 0.2474037715560041 0.42523368901853426
322.952 0.011014929183139469 0.047557041334033025 0.0004750297440244098 0.047542282097321184 0.03659808890445069 0.1709912222665779 0.25210470531472284 0.4337167011557305
335.078 0.012230299731886477 0.0463274858294806 0.000602865567810558 0.04514701208220594 0.03164881495285021 0.17050461547620344 0.2549322827009284 0.4386066236586342
347.66 0.012146999903766427 0.04517046855842836 0.000659100389592986 0.0430835216777765 0.02641651563619015 0.17009112660770206 0.2581197302957774 0.444312536930766
360.714 0.012573095347325309 0.044581474188852874 0.0008569669187143453 0.04274123765980673 0.021231661152450454 0.16928234283331864 0.26129962763500997 0.44743359426452195
374.258 0.012209436661377141 0.0437237497488864 0.0008634111868341779 0.040392037215306945 0.018050472158415626 0.16877209334313348 0.2632157400090304 0.4527730596770158
388.311 0.01192781891259661 0.04202347233203605 0.0010414987374962321 0.03860033985613085 0.015338105355281295 0.16644584478616203 0.26660879370677554 0.4580141263135214
402.891 0.012103692033445882 0.04043876107691252 0.0010527973403251976 0.036045945985767346 0.013027125523080389 0.1642467120878746 0.26917930415170627 0.46390566180088777
418.019 0.011970020028298679 0.038502843070306665 0.0012566153266991018 0.034239319565834765 0.011402470714392423 0.16014976097655156 0.2719849480165607 0.470494022301356
433.715 0.010998983497053635 0.036993279415436627 0.0011032891129386076 0.03208636746193338 0.010446611166773805 0.15862546454894816 0.27439199451290586 0.4753540102840098
450.0 0.010497387937518095 0.035570978445364616 0.0011271792611599924 0.03028619138141114 0.008612454989819636 0.157136511520579 0.2771920294033798 0.4795772670607675
