time extended helix coil
300.0 0.07658331241153787 0.04862512588479989 0.8747915617036622
311.264 0.07755616751924409 0.04949822799089262 0.8729456044898631
322.952 0.07444284946542745 0.04560146782732731 0.8799556827072451
335.078 0.06385126844219549 0.04012210948690287 0.8960266220709014
347.66 0.07027734143261813 0.04118627412112717 0.8885363844462547
360.714 0.06486014143930234 0.03660278478541373 0.898537073775284
374.258 0.0588432215315253 0.036512077777949736 0.904644700690525
388.311 0.04994237434576918 0.0408599700617639 0.9091976555924668
402.891 0.050254247802001106 0.037269271142601534 0.9124764810553974
418.019 0.03974025956706991 0.035435277646390415 0.9248244627865396
433.715 0.039361043919519396 0.031023420505727026 0.9296155355747536
450.0 0.0395429641536747 0.02816104838399532 0.93229598746233
