time extended helix coil
300.0 0.09837241467200078 0.0588723162037212 0.842755269124278
311.264 0.08857530840921063 0.05464022227595553 0.8567844693148338
322.952 0.09348743711160841 0.057518698796129177 0.8489938640922625
335.078 0.0740158378346831 0.060567413040243115 0.8654167491250738
347.66 0.07211709504816477 0.058785780964762425 0.8690971239870728
360.714 0.06382466187365232 0.06351018309248016 0.8726651550338675
374.258 0.059491538038651814 0.057123693233727804 0.8833847687276204
388.311 0.05467019556933634 0.05428735639418045 0.8910424480364832
402.891 0.05042740686310564 0.057988615602331345 0.8915839775345631
418.019 0.043044723598073986 0.050472284727228825 0.9064829916746973
433.715 0.040791063858209166 0.050098342874931645 0.9091105932668592
450.0 0.03698940660861863 0.046238853847417064 0.9167717395439643
