time extended helix coil
300.0 0.13263051860889336 0.0791976369449348 0.7881718444461718
311.264 0.12000350400583285 0.08560596776568377 0.7943905282284836
322.952 0.10487752046228722 0.083519354477502 0.8116031250602107
335.078 0.10291035915261201 0.07370885335073686 0.8233807874966512
347.66 0.07715999695328245 0.07659268342468271 0.8462473196220348
360.714 0.08555925855961308 0.07619963707574279 0.838241104364644
374.258 0.06835026680978513 0.07288775605333009 0.8587619771368848
388.311 0.05639597795269237 0.07311938211677926 0.8704846399305284
402.891 0.05409766634421373 0.0629473066286497 0.8829550270271365
418.019 0.04971160822296961 0.06752084077205935 0.882767551004971
433.715 0.04246397560987864 0.05823742923928784 0.8992985951508337
450.0 0.035804712545863676 0.0551288670570665 0.9090664203970698
