temp extended helix coil
300.0 0.16883378041025865 0.10134734396950364 0.15244115288477456
311.264 0.2038402707615179 0.10871398981595719 0.156649971769643
322.952 0.1697236571055719 0.12027380526078241 0.1541771602286629
335.078 0.15166191104163756 0.08960625362852576 0.1476643885298688
347.66 0.15504918498927622 0.10539612390311492 0.15096157679448835
360.714 0.14775137198543697 0.10865594865560863 0.15891048385192677
374.258 0.12083640454918769 0.09368659772951288 0.1583719396887201
388.311 0.10563399677397099 0.10612360798179353 0.1532636068231467
402.891 0.13069741641629082 0.0763133034074214 0.15416915520565627
418.019 0.10689747571128627 0.09093096556277808 0.16007191233415702
433.715 0.10122641406259036 0.07622074305091459 0.15022318960998987
450.0 0.09530972904788797 0.07986553391729498 0.15510018795542896
