temp extended helix coil
300.0 0.050856923541487575 0.11150413918799193 0.11604202456904844
311.264 0.06457583315314377 0.10606797431858256 0.12126941799657208
322.952 0.05174506344111991 0.07157625539038698 0.11523082853647465
335.078 0.0671537112141027 0.05916822318581298 0.10563192078842255
347.66 0.06523414193641942 0.03833856005877498 0.106852073794521
360.714 0.06614418506055408 0.0308280357755285 0.1010140039709258
374.258 0.05989257740252496 0.03154233893867413 0.10877124188233156
388.311 0.07440103442924557 0.03023826539552859 0.10897732482191491
402.891 0.06058767432108063 0.027218050580598147 0.10858575320095398
418.019 0.04852950788757321 0.02926966858658713 0.10574511619015184
433.715 0.05068536193242271 0.026616105471370666 0.09909954363843632
450.0 0.05422487532469213 0.028651497158302355 0.1071391693078258
