temp alpha_helix three_ten_helix pi_helix beta_bridge beta_strand turn bend irregular
300.0 0.005819926064001082 0.062275776179341734 0.0001882993765637237 0.03421298615021573 0.01806063318487452 0.1938764338326476 0.29999830732475014 0.3855676378876056
311.264 0.006114291802481788 0.06383362271694501 0.00023386383754663104 0.033314599964904684 0.019385798822843307 0.1914216707891465 0.29677597472239114 0.38892017734374096
322.952 0.00628048760526369 0.06190089200865989 0.0005659767348778662 0.03307158143624311 0.022050485353075723 0.18833814392764642 0.29132574320651106 0.39646668972772225
335.078 0.006052629555544053 0.04791723025767753 0.001270645353296719 0.03579353920361262 0.02504110512485618 0.17777376938729825 0.27883195164275915 0.4273191294749556
347.66 0.005268770096547949 0.04152916908041766 0.0012530831444517005 0.03672260244354965 0.024426266838914103 0.1753651484897223 0.2776100112249833 0.4378249486814135
360.714 0.004596786701170775 0.033280923911748105 0.001214697941788653 0.038505932637543865 0.02148967525418478 0.17111028828260566 0.27912001323178576 0.45068168203917247
374.258 0.00547114574666112 0.032052344037287926 0.0010207792719202514 0.03703518463051935 0.01853689468053897 0.17059014235236095 0.2808431067956023 0.4544504024851094
388.311 0.00575243248740497 0.03175659113360923 0.0009898978250216432 0.036496363798775154 0.0169408930403586 0.1708996161742139 0.28101365234773007 0.4561505531928864
402.891 0.006667198466995642 0.03182917074457324 0.001063002383589566 0.03508788462298196 0.014512936102916036 0.17089570525703465 0.2813447006788958 0.45859940174301317
418.019 0.007133534159740251 0.031462054985491754 0.000952047584035658 0.033067810647294395 0.01199850065206685 0.17266419412997555 0.281865601360209 0.46085625648118644
433.715 0.007129019861742201 0.030531038114886177 0.0007386329697007412 0.030373573258961097 0.010067742015835072 0.17279291354989765 0.281071148642551 0.46729593158642607
450.0 0.006760478463424863 0.029166888807512392 0.0006158737149198649 0.028171524352555467 0.00907039575669746 0.16987231789382295 0.27892806516536817 0.4774144558456986
