time extended helix coil
300.0 0.07592586670144943 0.05524201711399873 0.8688321161845518
311.264 0.07432096668771175 0.051271580094509536 0.8744074532177788
322.952 0.06531346302593632 0.050790887143760385 0.8838956498303033
335.078 0.06569932456538562 0.061105999300161584 0.8731946761344528
347.66 0.0647717507195342 0.050682952368963585 0.8845452969115022
360.714 0.0564686621169985 0.046881427172000605 0.8966499107110009
374.258 0.05085016598440964 0.047144083405348966 0.9020057506102415
388.311 0.04664805040333074 0.04536693499560375 0.9079850146010655
402.891 0.04126354074945006 0.044058923413218314 0.9146775358373316
418.019 0.0402324634195876 0.04789082161714159 0.9118767149632707
433.715 0.03670935821898284 0.04158043080430318 0.921710210976714
450.0 0.03465806231194167 0.04193685747168664 0.9234050802163718
