temp salt_bridges conf_entropy
300.0 7.063249532007072 45.00363918959305
311.264 7.022057560930338 48.38991271746823
322.952 6.953274841528969 52.84521925101493
335.078 6.907582034332147 57.78935382382077
347.66 6.89919192583685 62.786686290151074
360.714 6.83549331438766 68.46827199569364
374.258 6.768940519646931 75.06662861625576
388.311 6.6500197874492475 81.92658165295586
402.891 6.553147175501633 88.19406866667036
418.019 6.368779718701168 93.58657262535598
433.715 6.152192894273012 97.96711965767975
450.0 5.968912812389931 100.76358175436575
