temp salt_bridges conf_entropy
300.0 1.4965537769632413 101.0570984108743
311.264 1.447031103035179 104.00400297948629
322.952 1.4141385085303353 107.69025149142769
335.078 1.3911045970040048 108.71671326759139
347.66 1.366317796056777 110.98051785893384
360.714 1.3621165120334209 113.12309731444186
374.258 1.3266046749890619 115.38976502300572
388.311 1.3144244643051435 117.51771081148152
402.891 1.3090255472906356 119.63315307338131
418.019 1.2890022563868273 121.66199858299643
433.715 1.283349131733467 123.434023065336
450.0 1.3441265805186 125.31107536648484
