clust_id,norm_wt
0.0,0.00044013020432172545
1.0,0.8955955132748632
2.0,2.0162709095446726e-07
3.0,0.059069407480215184
4.0,7.003328153493674e-07
5.0,0.00045374885693253147
6.0,1.522733803355037e-05
7.0,0.0013338631686707436
8.0,1.3953070189541194e-06
9.0,3.30037628879189e-07
10.0,1.0708286524708242e-07
11.0,1.0695026843951456e-06
12.0,0.0009771713159655436
13.0,0.0002751473770769715
14.0,8.441505700692255e-06
15.0,1.876491863616934e-07
16.0,4.2546741333104345e-07
17.0,5.457122208038291e-07
18.0,3.743508318016945e-05
19.0,0.009847995888860246
20.0,8.951092615553574e-05
21.0,0.00014449720590372446
22.0,9.935111065095947e-07
23.0,9.817152385535715e-06
24.0,5.163708998219078e-06
25.0,1.3400271477437479e-06
26.0,2.3309545111001175e-08
27.0,7.254414513655108e-05
28.0,0.0022186601224916404
29.0,0.009017818181453486
30.0,1.0630023336024483e-06
31.0,2.417298668213916e-06
32.0,0.0077162178583192395
33.0,0.001180639405976501
34.0,0.004016689767536201
35.0,0.0002164369850988011
36.0,8.72712545321076e-08
37.0,2.685259918011907e-06
38.0,1.5786705873132332e-06
39.0,1.912600408951735e-08
40.0,1.1115024946480778e-08
41.0,2.6061988565605703e-08
42.0,1.0499379654881704e-06
43.0,0.0004675360225572662
44.0,7.878483728127222e-08
45.0,1.0059696287314853e-06
46.0,6.310917191789828e-08
47.0,1.3630341605197281e-06
48.0,0.00020830994721338528
49.0,0.00010072941191008876
50.0,0.0003843649414092051
51.0,1.4228344650472523e-06
52.0,0.0005708214091682172
53.0,1.2983423051920399e-08
54.0,4.447367974927895e-07
55.0,3.382461102625658e-09
56.0,0.0015473230822797704
57.0,2.1391451753904284e-07
58.0,5.3944084931851693e-08
59.0,1.233200629417866e-06
60.0,1.9930927142342517e-06
61.0,6.877652012838008e-07
62.0,0.0030981794141780915
63.0,5.049143969114165e-07
64.0,5.775874028241635e-09
65.0,6.260399327426269e-08
66.0,8.1468041449814e-07
67.0,1.6945477918781308e-06
68.0,0.0001557531201847097
69.0,1.3790121583066197e-07
70.0,7.789166128956384e-07
71.0,1.2732694502711868e-06
72.0,2.7427417800899136e-07
73.0,1.1318817602490611e-07
74.0,0.0001038909640573202
75.0,2.8099134419969234e-07
76.0,1.8518857119327834e-07
77.0,0.0003212557927592293
78.0,6.957222972515819e-08
79.0,1.064511472947484e-06
80.0,1.6088664114619186e-06
81.0,7.615616823129858e-07
82.0,1.3504686828813623e-08
83.0,6.472771868561315e-06
84.0,1.3269187163087292e-11
85.0,8.697200313994612e-09
86.0,3.529438187820193e-05
87.0,1.278470446985256e-09
88.0,8.756824796070883e-09
89.0,3.3070331189373195e-08
90.0,2.2055082458212437e-07
91.0,3.0314095132249122e-05
92.0,3.3511971735296395e-07
93.0,0.00010279094525769187
94.0,7.900744465190723e-07
95.0,5.3013565826711205e-05
96.0,1.6855260592427778e-06
97.0,6.340595488086344e-07
98.0,8.040691522612167e-12
99.0,1.073461657874508e-07
100.0,8.82967434277142e-09
101.0,3.108676341463442e-05
102.0,7.032345871360181e-09
103.0,1.5253430085374597e-08
104.0,2.3094137080876892e-07
105.0,3.943195037948932e-07
106.0,8.956649103860771e-07
107.0,2.265495219941155e-07
108.0,7.04994907900418e-07
